Timestamp,Gender,State,Parent Education Level,Household Income Level,Study Duration,Study Frequency,Learning Style,Study Resources,Past Exam Practice,Study Space,Attendance,Study Impact by extracurricular activity,Teacher Support,Progress Monitoring,Performance,Score Level
2024-07-15 09:02:40,Male,Nasarawa,"Postgraduate(Masters,PhD)",Low income,2-4 hours,Only before exams,Group discussions,Past questions,Always,No,Never,Helps a lot,Never,Often,I performed better than expected,> 270
2024-05-26 04:02:49,Female,Oyo,University,Low income,More than 4 hours,4-6 times a week,Group discussions,Tutor,Never,Yes,Never,Hinders a lot,Sometimes,Sometimes,I performed as expected,< 120
2024-05-13 18:59:15,Female,Imo,Primary school,High income,More than 4 hours,4-6 times a week,Reading notes,Past questions,Rarely,Yes,Sometimes,Helps somewhat,Always,Always,I performed better than expected,< 120
2024-06-26 11:45:22,Female,Edo,Primary school,Low income,1-2 hours,2-3 times a week,Reading notes,Textbooks,Sometimes,No,Always,Helps somewhat,Always,Often,I performed as expected,120 - 200
2024-03-17 05:54:20,Female,Akwa Ibom,Primary school,Low income,1-2 hours,Once a week,Group discussions,Past questions,Always,Yes,Almost always,No impact,Usually,Rarely,I performed better than expected,< 120
2024-06-14 23:57:23,Female,Bauchi,Secondary school,Low income,More than 4 hours,Once a week,Hands-on practice,Online materials,Sometimes,No,Rarely,Hinders a lot,Never,Rarely,I performed worse than expected,200 - 270
2024-01-19 09:54:20,Female,Taraba,Secondary school,High income,2-4 hours,2-3 times a week,Reading notes,Online materials,Sometimes,No,Never,Hinders somewhat,Usually,Rarely,I performed as expected,200 - 270
2024-07-20 18:32:13,Female,Lagos,Primary school,Low income,Less than 1 hour,Only before exams,Reading notes,Past questions,Always,Yes,Almost always,Hinders somewhat,Never,Rarely,I performed as expected,200 - 270
2024-04-21 09:06:28,Male,Nasarawa,"Postgraduate(Masters,PhD)",Middle income,2-4 hours,Never,Hands-on practice,Tutor,Sometimes,No,Never,No impact,Never,Often,I performed worse than expected,120 - 200
2024-09-18 20:35:13,Female,Sokoto,Primary school,High income,Less than 1 hour,Every day,Hands-on practice,Past questions,Rarely,Yes,Almost always,Helps somewhat,Rarely,Never,I performed as expected,> 270
2024-03-11 08:46:00,Female,Sokoto,Primary school,Middle income,Less than 1 hour,2-3 times a week,Group discussions,Online materials,Always,Yes,Always,Helps a lot,Rarely,Never,I performed as expected,> 270
2024-01-26 11:32:52,Male,Lagos,Secondary school,High income,More than 4 hours,Once a week,Watching videos,Textbooks,Always,Yes,Sometimes,Hinders somewhat,Rarely,Always,I performed worse than expected,120 - 200
2024-03-28 16:59:18,Male,Lagos,"Postgraduate(Masters,PhD)",Middle income,2-4 hours,Every day,Reading notes,Tutor,Sometimes,Yes,Never,Helps somewhat,Usually,Often,I performed worse than expected,> 270
2024-05-15 21:13:28,Male,Sokoto,"Postgraduate(Masters,PhD)",High income,2-4 hours,4-6 times a week,Watching videos,Tutor,Sometimes,Yes,Sometimes,Hinders somewhat,Sometimes,Always,I performed better than expected,120 - 200
2024-05-18 15:08:09,Female,Akwa Ibom,University,Low income,2-4 hours,Every day,Reading notes,Videos,Sometimes,Yes,Sometimes,Helps somewhat,Sometimes,Rarely,I performed better than expected,200 - 270
2024-01-20 00:15:08,Male,Sokoto,Secondary school,Low income,2-4 hours,Only before exams,Hands-on practice,Online materials,Always,Yes,Sometimes,No impact,Always,Sometimes,I performed as expected,> 270
2024-07-18 00:19:50,Female,Katsina,"Postgraduate(Masters,PhD)",Low income,More than 4 hours,4-6 times a week,Watching videos,Tutor,Rarely,No,Never,Helps a lot,Sometimes,Never,I performed better than expected,200 - 270
2024-05-23 19:37:45,Female,FCT,No formal education,Middle income,2-4 hours,Once a week,Group discussions,Online materials,Often,Yes,Almost always,Helps somewhat,Never,Rarely,I performed worse than expected,200 - 270
2024-06-28 21:48:16,Female,Borno,University,Middle income,2-4 hours,Only before exams,Group discussions,Tutor,Rarely,Yes,Sometimes,Hinders a lot,Rarely,Always,I performed better than expected,> 270
2024-06-04 21:21:54,Female,Ondo,No formal education,Low income,2-4 hours,Once a week,Reading notes,Videos,Sometimes,No,Always,Hinders a lot,Usually,Sometimes,I performed worse than expected,> 270
2024-04-16 03:39:30,Male,Cross River,No formal education,Low income,1-2 hours,Never,Reading notes,Textbooks,Sometimes,No,Almost always,Helps a lot,Sometimes,Often,I performed worse than expected,200 - 270
2024-09-28 16:47:26,Female,Ogun,"Postgraduate(Masters,PhD)",High income,Less than 1 hour,Never,Group discussions,Videos,Rarely,No,Rarely,Hinders a lot,Always,Never,I performed better than expected,200 - 270
2024-06-14 05:14:40,Female,Bauchi,No formal education,Low income,1-2 hours,2-3 times a week,Group discussions,Past questions,Always,No,Rarely,Hinders a lot,Sometimes,Never,I performed as expected,< 120
2024-01-23 09:42:30,Male,Imo,Primary school,Middle income,More than 4 hours,2-3 times a week,Hands-on practice,Past questions,Often,No,Never,Hinders somewhat,Usually,Sometimes,I performed worse than expected,> 270
2024-09-21 15:37:14,Male,Kebbi,No formal education,Middle income,Less than 1 hour,Every day,Listening to lectures,Videos,Rarely,No,Rarely,Helps somewhat,Always,Always,I performed worse than expected,120 - 200
2024-04-26 22:15:04,Male,Plateau,University,High income,More than 4 hours,Never,Reading notes,Videos,Always,Yes,Sometimes,Helps somewhat,Usually,Sometimes,I performed as expected,> 270
2024-02-13 18:33:20,Male,Benue,Secondary school,Middle income,2-4 hours,4-6 times a week,Listening to lectures,Videos,Often,Yes,Never,Helps somewhat,Sometimes,Always,I performed better than expected,< 120
2024-01-31 23:25:08,Female,Edo,"Postgraduate(Masters,PhD)",High income,Less than 1 hour,2-3 times a week,Watching videos,Online materials,Always,No,Never,Hinders a lot,Usually,Never,I performed as expected,< 120
2024-03-08 20:50:19,Male,Imo,Secondary school,High income,More than 4 hours,Once a week,Listening to lectures,Videos,Often,Yes,Almost always,Helps somewhat,Rarely,Often,I performed worse than expected,> 270
2024-05-11 06:26:33,Female,Osun,"Postgraduate(Masters,PhD)",High income,1-2 hours,Once a week,Reading notes,Online materials,Sometimes,No,Almost always,Helps somewhat,Usually,Always,I performed better than expected,120 - 200
2024-03-27 23:12:01,Male,Anambra,"Postgraduate(Masters,PhD)",Middle income,More than 4 hours,Once a week,Watching videos,Online materials,Often,Yes,Rarely,Helps a lot,Usually,Never,I performed as expected,< 120
2024-06-14 03:18:23,Male,Kaduna,No formal education,Middle income,1-2 hours,Once a week,Reading notes,Tutor,Sometimes,Yes,Never,No impact,Sometimes,Always,I performed worse than expected,> 270
2024-03-12 15:58:32,Male,Yobe,"Postgraduate(Masters,PhD)",Middle income,More than 4 hours,Never,Watching videos,Past questions,Often,Yes,Always,Helps somewhat,Never,Never,I performed better than expected,< 120
2024-07-20 04:23:31,Female,Ondo,Primary school,Middle income,More than 4 hours,Only before exams,Listening to lectures,Online materials,Sometimes,Yes,Sometimes,Helps a lot,Never,Often,I performed as expected,200 - 270
2024-02-10 09:26:16,Male,Lagos,University,Middle income,1-2 hours,2-3 times a week,Hands-on practice,Textbooks,Rarely,Yes,Never,Hinders somewhat,Rarely,Often,I performed as expected,200 - 270
2024-07-20 18:55:29,Female,Kano,"Postgraduate(Masters,PhD)",High income,Less than 1 hour,4-6 times a week,Listening to lectures,Past questions,Never,Yes,Sometimes,Helps a lot,Rarely,Rarely,I performed better than expected,200 - 270
2024-04-17 13:12:05,Male,Niger,No formal education,Low income,More than 4 hours,4-6 times a week,Listening to lectures,Tutor,Sometimes,Yes,Sometimes,No impact,Sometimes,Never,I performed as expected,> 270
2024-05-10 23:59:14,Female,Edo,"Postgraduate(Masters,PhD)",Middle income,1-2 hours,4-6 times a week,Hands-on practice,Past questions,Rarely,No,Always,Hinders somewhat,Never,Rarely,I performed better than expected,> 270
2024-02-12 20:19:40,Male,Niger,"Postgraduate(Masters,PhD)",Middle income,1-2 hours,2-3 times a week,Hands-on practice,Textbooks,Never,Yes,Never,Hinders a lot,Never,Never,I performed as expected,> 270
2024-10-01 05:53:13,Female,Delta,Secondary school,Middle income,2-4 hours,Never,Hands-on practice,Videos,Always,Yes,Sometimes,Helps somewhat,Rarely,Rarely,I performed as expected,< 120
2024-09-21 03:26:14,Female,Gombe,Primary school,Middle income,2-4 hours,Never,Reading notes,Videos,Rarely,No,Almost always,No impact,Always,Rarely,I performed better than expected,< 120
2024-04-23 12:15:08,Male,Jigawa,Primary school,Low income,2-4 hours,4-6 times a week,Reading notes,Online materials,Often,Yes,Rarely,Helps a lot,Rarely,Always,I performed better than expected,200 - 270
2024-05-30 15:57:27,Male,Osun,University,Low income,2-4 hours,Only before exams,Listening to lectures,Textbooks,Never,No,Almost always,Hinders somewhat,Sometimes,Always,I performed better than expected,120 - 200
2024-02-24 14:53:54,Female,Sokoto,"Postgraduate(Masters,PhD)",Low income,Less than 1 hour,2-3 times a week,Hands-on practice,Tutor,Often,No,Almost always,Hinders a lot,Sometimes,Always,I performed as expected,120 - 200
2024-06-18 06:46:49,Female,Ondo,"Postgraduate(Masters,PhD)",Low income,Less than 1 hour,Only before exams,Listening to lectures,Textbooks,Rarely,No,Always,Helps somewhat,Sometimes,Rarely,I performed as expected,< 120
2024-07-27 08:31:03,Male,Sokoto,"Postgraduate(Masters,PhD)",Low income,More than 4 hours,2-3 times a week,Watching videos,Past questions,Rarely,Yes,Never,Helps a lot,Rarely,Sometimes,I performed better than expected,> 270
2024-07-25 02:48:56,Male,Katsina,Primary school,High income,2-4 hours,2-3 times a week,Watching videos,Videos,Never,No,Rarely,Helps a lot,Rarely,Never,I performed better than expected,120 - 200
2024-05-29 07:33:26,Female,Lagos,"Postgraduate(Masters,PhD)",High income,Less than 1 hour,4-6 times a week,Hands-on practice,Online materials,Always,No,Never,Hinders a lot,Usually,Sometimes,I performed worse than expected,< 120
2024-07-15 09:19:39,Female,Enugu,Primary school,Middle income,Less than 1 hour,Every day,Group discussions,Online materials,Rarely,No,Rarely,No impact,Sometimes,Rarely,I performed as expected,200 - 270
2024-07-31 12:31:32,Male,Edo,Secondary school,Middle income,2-4 hours,Only before exams,Hands-on practice,Videos,Always,No,Rarely,Helps somewhat,Usually,Never,I performed better than expected,200 - 270
2024-05-19 14:24:32,Female,Lagos,No formal education,Low income,2-4 hours,2-3 times a week,Hands-on practice,Past questions,Sometimes,No,Almost always,Hinders somewhat,Always,Never,I performed better than expected,200 - 270
2024-05-21 11:35:41,Female,Kano,No formal education,Middle income,More than 4 hours,Every day,Group discussions,Tutor,Sometimes,Yes,Sometimes,Hinders somewhat,Always,Rarely,I performed as expected,< 120
2024-01-12 06:20:25,Female,Bayelsa,No formal education,Middle income,Less than 1 hour,2-3 times a week,Listening to lectures,Online materials,Rarely,No,Almost always,Helps somewhat,Never,Rarely,I performed better than expected,120 - 200
2024-02-06 05:50:43,Female,Ondo,No formal education,Middle income,More than 4 hours,Every day,Group discussions,Textbooks,Sometimes,No,Never,Hinders somewhat,Always,Always,I performed better than expected,200 - 270
2024-10-07 04:56:34,Male,Kwara,"Postgraduate(Masters,PhD)",Low income,2-4 hours,Never,Group discussions,Videos,Rarely,No,Almost always,Hinders a lot,Usually,Rarely,I performed as expected,> 270
2024-03-16 05:14:36,Female,Nasarawa,University,Middle income,2-4 hours,Never,Hands-on practice,Online materials,Never,Yes,Always,Helps a lot,Usually,Always,I performed as expected,< 120
2024-05-23 03:21:43,Male,Taraba,University,High income,2-4 hours,2-3 times a week,Reading notes,Online materials,Always,Yes,Almost always,No impact,Never,Sometimes,I performed worse than expected,< 120
2024-07-30 23:19:57,Male,Ebonyi,No formal education,Middle income,More than 4 hours,Never,Group discussions,Videos,Rarely,No,Rarely,Helps somewhat,Usually,Sometimes,I performed better than expected,120 - 200
2024-06-11 00:01:06,Male,Taraba,No formal education,Middle income,2-4 hours,Never,Hands-on practice,Past questions,Often,No,Rarely,No impact,Sometimes,Always,I performed worse than expected,120 - 200
2024-02-15 23:06:17,Female,Ondo,University,Low income,Less than 1 hour,2-3 times a week,Listening to lectures,Past questions,Never,Yes,Rarely,Hinders a lot,Never,Always,I performed worse than expected,120 - 200
2024-07-02 01:38:16,Male,Delta,Secondary school,High income,More than 4 hours,Never,Group discussions,Textbooks,Always,No,Sometimes,Helps somewhat,Rarely,Always,I performed as expected,> 270
2024-09-30 13:58:52,Male,Kano,Secondary school,Middle income,More than 4 hours,2-3 times a week,Watching videos,Tutor,Always,No,Sometimes,No impact,Never,Rarely,I performed better than expected,< 120
2024-03-28 17:51:40,Male,Niger,Secondary school,Middle income,1-2 hours,4-6 times a week,Watching videos,Online materials,Never,No,Never,No impact,Sometimes,Always,I performed as expected,< 120
2024-01-14 02:13:55,Male,Plateau,Primary school,High income,1-2 hours,2-3 times a week,Listening to lectures,Online materials,Sometimes,Yes,Never,Hinders a lot,Never,Often,I performed better than expected,< 120
2024-08-25 23:01:52,Male,Enugu,No formal education,High income,Less than 1 hour,Never,Listening to lectures,Tutor,Sometimes,Yes,Never,Hinders somewhat,Rarely,Sometimes,I performed better than expected,< 120
2024-02-16 15:57:31,Female,Jigawa,No formal education,High income,More than 4 hours,Only before exams,Group discussions,Tutor,Often,Yes,Always,Helps a lot,Always,Always,I performed as expected,< 120
2024-03-13 06:58:53,Male,Sokoto,No formal education,Middle income,More than 4 hours,Once a week,Reading notes,Tutor,Rarely,No,Rarely,Hinders somewhat,Sometimes,Often,I performed better than expected,> 270
2024-06-04 21:45:53,Male,Rivers,University,High income,More than 4 hours,Every day,Group discussions,Past questions,Never,No,Almost always,Hinders somewhat,Rarely,Always,I performed worse than expected,120 - 200
2024-08-20 15:39:08,Female,Jigawa,Primary school,Middle income,More than 4 hours,Never,Listening to lectures,Past questions,Always,Yes,Always,Helps somewhat,Never,Often,I performed worse than expected,120 - 200
2024-09-20 09:56:39,Female,Imo,"Postgraduate(Masters,PhD)",High income,More than 4 hours,4-6 times a week,Hands-on practice,Textbooks,Never,No,Always,Helps somewhat,Sometimes,Never,I performed worse than expected,120 - 200
2024-03-13 17:49:59,Male,Lagos,"Postgraduate(Masters,PhD)",Middle income,Less than 1 hour,Once a week,Listening to lectures,Tutor,Often,Yes,Sometimes,Helps a lot,Never,Rarely,I performed better than expected,200 - 270
2024-09-25 23:46:25,Male,Bauchi,University,Middle income,More than 4 hours,Once a week,Listening to lectures,Online materials,Rarely,Yes,Rarely,Helps somewhat,Usually,Always,I performed as expected,> 270
2024-09-18 15:11:45,Female,Bauchi,University,High income,1-2 hours,Once a week,Hands-on practice,Videos,Sometimes,No,Always,Helps a lot,Rarely,Never,I performed as expected,200 - 270
2024-02-28 01:22:32,Female,Katsina,Secondary school,Middle income,Less than 1 hour,Only before exams,Group discussions,Textbooks,Often,No,Never,Hinders a lot,Sometimes,Sometimes,I performed worse than expected,200 - 270
2024-05-18 04:21:39,Female,Anambra,No formal education,High income,More than 4 hours,2-3 times a week,Hands-on practice,Videos,Rarely,Yes,Rarely,No impact,Always,Never,I performed worse than expected,> 270
2024-08-26 03:10:54,Male,Ekiti,Primary school,Middle income,2-4 hours,Once a week,Hands-on practice,Videos,Never,Yes,Always,Hinders somewhat,Rarely,Sometimes,I performed worse than expected,200 - 270
2024-06-24 04:49:33,Male,Lagos,No formal education,Low income,Less than 1 hour,4-6 times a week,Reading notes,Online materials,Often,No,Almost always,Hinders a lot,Never,Rarely,I performed worse than expected,120 - 200
2024-08-26 07:06:14,Female,Sokoto,Primary school,Middle income,2-4 hours,Once a week,Watching videos,Online materials,Always,Yes,Almost always,Helps a lot,Never,Rarely,I performed worse than expected,120 - 200
2024-06-18 11:02:27,Female,Kano,Primary school,High income,More than 4 hours,Never,Hands-on practice,Textbooks,Often,Yes,Always,Hinders somewhat,Always,Often,I performed worse than expected,200 - 270
2024-01-29 17:18:56,Male,Niger,"Postgraduate(Masters,PhD)",Middle income,1-2 hours,Every day,Watching videos,Textbooks,Never,Yes,Rarely,Helps somewhat,Usually,Never,I performed worse than expected,120 - 200
2024-06-07 19:07:28,Female,Zamfara,No formal education,Middle income,1-2 hours,Every day,Group discussions,Past questions,Rarely,Yes,Almost always,Helps somewhat,Never,Never,I performed as expected,< 120
2024-05-04 15:18:45,Male,Kebbi,No formal education,Low income,2-4 hours,Every day,Group discussions,Past questions,Always,Yes,Rarely,Helps a lot,Rarely,Always,I performed worse than expected,> 270
2024-06-20 11:27:41,Male,Gombe,Secondary school,Middle income,1-2 hours,2-3 times a week,Hands-on practice,Tutor,Sometimes,Yes,Always,Helps somewhat,Never,Often,I performed as expected,> 270
2024-07-09 01:02:04,Male,FCT,Secondary school,Low income,Less than 1 hour,Every day,Reading notes,Textbooks,Rarely,Yes,Never,Helps somewhat,Rarely,Never,I performed as expected,> 270
2024-02-01 07:46:04,Female,Jigawa,University,Low income,1-2 hours,Only before exams,Watching videos,Textbooks,Always,Yes,Never,No impact,Never,Sometimes,I performed as expected,120 - 200
2024-01-09 07:36:46,Male,Imo,Secondary school,Middle income,Less than 1 hour,Once a week,Reading notes,Past questions,Never,No,Almost always,Hinders somewhat,Usually,Always,I performed worse than expected,120 - 200
2024-03-25 11:25:08,Female,FCT,University,High income,Less than 1 hour,Only before exams,Listening to lectures,Past questions,Never,Yes,Always,Helps somewhat,Usually,Rarely,I performed as expected,> 270
2024-03-18 09:26:31,Male,Katsina,No formal education,Middle income,2-4 hours,Once a week,Listening to lectures,Videos,Rarely,No,Always,Hinders somewhat,Rarely,Always,I performed worse than expected,200 - 270
2024-05-30 19:25:48,Male,Benue,Primary school,High income,More than 4 hours,Every day,Group discussions,Tutor,Rarely,No,Always,Hinders a lot,Always,Never,I performed as expected,< 120
2024-09-13 10:30:09,Male,Nasarawa,Secondary school,Low income,Less than 1 hour,2-3 times a week,Group discussions,Online materials,Rarely,No,Sometimes,No impact,Always,Often,I performed better than expected,200 - 270
2024-10-04 03:17:44,Male,Zamfara,Primary school,High income,1-2 hours,Never,Group discussions,Textbooks,Sometimes,No,Almost always,Hinders a lot,Rarely,Sometimes,I performed as expected,< 120
2024-10-07 01:42:46,Female,Plateau,Secondary school,Middle income,2-4 hours,4-6 times a week,Listening to lectures,Online materials,Rarely,No,Sometimes,No impact,Always,Often,I performed better than expected,200 - 270
2024-03-25 10:54:49,Male,Jigawa,Primary school,Middle income,Less than 1 hour,4-6 times a week,Group discussions,Videos,Often,No,Rarely,No impact,Sometimes,Often,I performed as expected,> 270
2024-09-02 04:06:42,Female,Ogun,"Postgraduate(Masters,PhD)",Middle income,More than 4 hours,Never,Listening to lectures,Videos,Often,Yes,Never,Hinders a lot,Usually,Rarely,I performed better than expected,> 270
2024-09-28 21:42:14,Female,Nasarawa,Primary school,Low income,Less than 1 hour,Only before exams,Group discussions,Online materials,Sometimes,Yes,Never,Hinders somewhat,Usually,Rarely,I performed better than expected,200 - 270
2024-03-01 12:52:17,Female,Benue,No formal education,Low income,2-4 hours,4-6 times a week,Watching videos,Videos,Often,No,Sometimes,No impact,Never,Often,I performed as expected,120 - 200
2024-09-03 02:30:50,Male,Delta,"Postgraduate(Masters,PhD)",Middle income,More than 4 hours,2-3 times a week,Reading notes,Past questions,Rarely,No,Never,Hinders a lot,Never,Never,I performed worse than expected,< 120
2024-05-28 02:10:21,Female,Zamfara,No formal education,High income,More than 4 hours,Only before exams,Reading notes,Videos,Always,No,Almost always,No impact,Sometimes,Often,I performed worse than expected,< 120
2024-06-11 10:13:26,Female,Cross River,Primary school,Middle income,2-4 hours,Never,Group discussions,Videos,Rarely,No,Always,Helps a lot,Never,Often,I performed as expected,< 120
2024-08-26 15:25:42,Male,Nasarawa,"Postgraduate(Masters,PhD)",High income,1-2 hours,Never,Group discussions,Videos,Always,No,Never,Hinders somewhat,Never,Often,I performed worse than expected,120 - 200
2024-02-11 13:27:30,Male,Yobe,"Postgraduate(Masters,PhD)",Middle income,More than 4 hours,Every day,Listening to lectures,Online materials,Often,Yes,Rarely,Hinders somewhat,Always,Never,I performed as expected,200 - 270
2024-03-02 10:53:51,Male,Ebonyi,"Postgraduate(Masters,PhD)",Low income,Less than 1 hour,Once a week,Watching videos,Online materials,Rarely,No,Rarely,Hinders somewhat,Usually,Often,I performed better than expected,> 270
2024-02-25 03:01:16,Male,Kano,"Postgraduate(Masters,PhD)",Low income,1-2 hours,Once a week,Hands-on practice,Textbooks,Never,Yes,Always,Hinders somewhat,Sometimes,Never,I performed as expected,120 - 200
2024-01-12 23:04:13,Female,Ondo,No formal education,High income,More than 4 hours,4-6 times a week,Reading notes,Videos,Often,Yes,Never,No impact,Rarely,Never,I performed better than expected,< 120
2024-08-10 07:31:56,Male,Rivers,No formal education,Low income,Less than 1 hour,Once a week,Hands-on practice,Past questions,Often,No,Almost always,Helps somewhat,Sometimes,Often,I performed better than expected,< 120
2024-04-16 16:08:37,Female,Zamfara,Secondary school,Middle income,2-4 hours,Every day,Watching videos,Textbooks,Sometimes,Yes,Almost always,Helps a lot,Usually,Always,I performed as expected,200 - 270
2024-02-21 03:26:24,Female,Plateau,"Postgraduate(Masters,PhD)",Middle income,Less than 1 hour,Once a week,Reading notes,Videos,Often,Yes,Never,Helps a lot,Usually,Sometimes,I performed better than expected,< 120
2024-08-02 11:31:33,Female,Oyo,"Postgraduate(Masters,PhD)",Low income,2-4 hours,2-3 times a week,Group discussions,Videos,Always,Yes,Almost always,Hinders somewhat,Rarely,Always,I performed worse than expected,200 - 270
2024-03-05 19:21:02,Male,Oyo,University,Low income,More than 4 hours,4-6 times a week,Reading notes,Online materials,Rarely,Yes,Never,Helps somewhat,Always,Never,I performed as expected,< 120
2024-04-27 15:36:41,Male,Niger,Primary school,Middle income,More than 4 hours,4-6 times a week,Group discussions,Online materials,Sometimes,Yes,Rarely,Hinders somewhat,Sometimes,Sometimes,I performed as expected,> 270
2024-06-08 20:59:20,Male,Plateau,No formal education,Middle income,More than 4 hours,Only before exams,Watching videos,Online materials,Never,Yes,Almost always,Helps somewhat,Rarely,Never,I performed better than expected,> 270
2024-07-09 03:31:48,Female,Niger,"Postgraduate(Masters,PhD)",Middle income,2-4 hours,Once a week,Reading notes,Past questions,Often,No,Never,Helps somewhat,Always,Sometimes,I performed better than expected,> 270
2024-04-30 14:23:02,Male,Rivers,University,Middle income,2-4 hours,Never,Listening to lectures,Textbooks,Always,Yes,Sometimes,Hinders somewhat,Usually,Rarely,I performed better than expected,> 270
2024-01-13 22:43:51,Male,Lagos,Primary school,Low income,Less than 1 hour,Never,Group discussions,Online materials,Always,No,Almost always,Hinders somewhat,Sometimes,Never,I performed better than expected,120 - 200
2024-06-27 15:53:00,Female,Jigawa,"Postgraduate(Masters,PhD)",High income,1-2 hours,Once a week,Watching videos,Past questions,Never,No,Never,Helps somewhat,Usually,Always,I performed as expected,> 270
2024-04-19 17:14:23,Female,Katsina,No formal education,Middle income,1-2 hours,Once a week,Watching videos,Videos,Never,Yes,Never,Hinders somewhat,Never,Never,I performed worse than expected,< 120
2024-03-15 12:05:15,Male,Borno,Secondary school,Middle income,2-4 hours,2-3 times a week,Hands-on practice,Videos,Always,No,Rarely,No impact,Sometimes,Sometimes,I performed as expected,200 - 270
2024-05-10 15:52:02,Male,Rivers,"Postgraduate(Masters,PhD)",Low income,1-2 hours,Never,Hands-on practice,Past questions,Sometimes,No,Always,Hinders somewhat,Never,Often,I performed as expected,200 - 270
2024-08-26 10:01:54,Male,Oyo,University,Middle income,Less than 1 hour,4-6 times a week,Listening to lectures,Tutor,Sometimes,Yes,Rarely,Helps a lot,Always,Rarely,I performed worse than expected,200 - 270
2024-06-29 10:39:00,Female,Rivers,"Postgraduate(Masters,PhD)",High income,2-4 hours,Every day,Hands-on practice,Videos,Never,Yes,Rarely,Helps a lot,Always,Rarely,I performed better than expected,120 - 200
2024-06-29 23:03:30,Male,Borno,University,Middle income,Less than 1 hour,2-3 times a week,Watching videos,Past questions,Sometimes,Yes,Never,Helps a lot,Never,Rarely,I performed as expected,200 - 270
2024-02-08 03:21:15,Female,Plateau,No formal education,High income,1-2 hours,2-3 times a week,Watching videos,Videos,Often,No,Never,Helps somewhat,Usually,Always,I performed worse than expected,120 - 200
2024-08-18 13:05:31,Female,Adamawa,"Postgraduate(Masters,PhD)",High income,Less than 1 hour,Once a week,Hands-on practice,Tutor,Sometimes,Yes,Always,No impact,Usually,Often,I performed better than expected,> 270
2024-05-15 20:05:21,Female,Ondo,University,Low income,2-4 hours,4-6 times a week,Group discussions,Past questions,Often,Yes,Never,Hinders somewhat,Never,Sometimes,I performed better than expected,200 - 270
2024-02-15 17:24:27,Male,Kogi,University,Low income,2-4 hours,Every day,Hands-on practice,Past questions,Rarely,Yes,Rarely,Hinders a lot,Rarely,Always,I performed as expected,> 270
2024-04-05 23:28:40,Male,Lagos,University,Middle income,More than 4 hours,Never,Listening to lectures,Textbooks,Sometimes,Yes,Almost always,Hinders a lot,Rarely,Rarely,I performed worse than expected,200 - 270
2024-05-04 05:40:47,Male,Kogi,University,High income,Less than 1 hour,2-3 times a week,Hands-on practice,Textbooks,Rarely,Yes,Always,Hinders a lot,Usually,Often,I performed better than expected,200 - 270
2024-07-22 07:47:21,Female,Enugu,No formal education,Middle income,Less than 1 hour,Every day,Watching videos,Past questions,Rarely,No,Always,No impact,Rarely,Always,I performed worse than expected,< 120
2024-07-21 22:18:05,Male,Bauchi,Primary school,Middle income,2-4 hours,2-3 times a week,Hands-on practice,Textbooks,Sometimes,No,Never,Helps somewhat,Rarely,Sometimes,I performed better than expected,> 270
2024-07-30 12:33:44,Male,Ekiti,No formal education,High income,Less than 1 hour,4-6 times a week,Group discussions,Videos,Always,Yes,Sometimes,No impact,Usually,Never,I performed worse than expected,< 120
2024-04-20 11:07:09,Female,Adamawa,Secondary school,High income,Less than 1 hour,Only before exams,Reading notes,Past questions,Sometimes,No,Always,Hinders somewhat,Sometimes,Rarely,I performed worse than expected,> 270
2024-08-16 14:35:00,Female,Kaduna,University,Middle income,More than 4 hours,4-6 times a week,Watching videos,Past questions,Sometimes,Yes,Sometimes,Helps somewhat,Never,Rarely,I performed better than expected,120 - 200
2024-01-05 02:38:39,Male,Kebbi,University,Middle income,2-4 hours,Only before exams,Watching videos,Online materials,Rarely,Yes,Never,Hinders somewhat,Usually,Sometimes,I performed better than expected,< 120
2024-08-25 22:04:07,Female,Jigawa,No formal education,Low income,More than 4 hours,4-6 times a week,Listening to lectures,Tutor,Rarely,No,Always,Hinders a lot,Never,Never,I performed worse than expected,120 - 200
2024-03-14 05:00:30,Male,Akwa Ibom,Secondary school,High income,1-2 hours,2-3 times a week,Group discussions,Textbooks,Never,No,Always,Helps somewhat,Usually,Often,I performed better than expected,< 120
2024-04-24 05:08:50,Female,Bauchi,University,Middle income,Less than 1 hour,2-3 times a week,Listening to lectures,Tutor,Often,Yes,Rarely,Helps a lot,Always,Never,I performed worse than expected,200 - 270
2024-02-03 19:43:37,Female,Zamfara,University,High income,More than 4 hours,4-6 times a week,Reading notes,Online materials,Never,Yes,Always,Hinders somewhat,Sometimes,Often,I performed worse than expected,120 - 200
2024-06-28 15:21:31,Female,Kano,No formal education,Middle income,Less than 1 hour,Every day,Hands-on practice,Videos,Sometimes,No,Sometimes,Helps a lot,Sometimes,Often,I performed better than expected,< 120
2024-05-29 05:48:39,Male,Osun,No formal education,High income,1-2 hours,Never,Hands-on practice,Tutor,Always,No,Almost always,No impact,Always,Rarely,I performed worse than expected,> 270
2024-03-12 03:35:15,Female,Kwara,Primary school,Low income,1-2 hours,4-6 times a week,Watching videos,Past questions,Rarely,No,Almost always,No impact,Always,Sometimes,I performed worse than expected,< 120
2024-07-02 23:15:15,Male,Ebonyi,Secondary school,Low income,Less than 1 hour,Never,Group discussions,Tutor,Always,No,Never,No impact,Sometimes,Sometimes,I performed as expected,200 - 270
